disp.name.flag,disp.name.cz
LANGUAGE,"Čeština"
HEAT,"Teplota"
MOVE,"Posunout"
HOME,"Domů"
PRINT,"Tisknout"
EXTRUDE,"Filament"
FAN,"Ofuk"
SETTINGS,"Nastavení"
SCREEN_SETTINGS,"Vzhled"
MACHINE_SETTINGS,"Tiskárna"
FEATURE_SETTINGS,"Vlastnosti"
SILENT_ON,"Tichý"
SILENT_OFF,"Pípání"
SHUT_DOWN,"Vypnout"
RGB_SETTINGS,"Barva LED"
RGB_OFF,"LED vyp."
GCODE,"Gcode"
TERMINAL,"Terminal"
CUSTOM,"Vlastní"
LEVELING,"Srovnat"
POINT_1,"Bod 1"
POINT_2,"Bod 2"
POINT_3,"Bod 3"
POINT_4,"Bod 4"
ABL,"Vyrovnat"
BLTOUCH,"Bltouch"
BLTOUCH_TEST,"Test"
BLTOUCH_DEPLOY,"Vysunout"
BLTOUCH_STOW,"Zasunout"
BLTOUCH_REPEAT,"Přesnost"
Z_OFFSET,"Z Offset"
PROBE_OFFSET,"Ofset sondy"
EEPROM_SAVE,"Uložit"
INC,"Přidat"
DEC,"Ubrat"
NOZZLE,"Tryska"
BED,"Stolek"
STOP,"Stop"
BACK,"Zpět"
PAGE_UP,"Další"
PAGE_DOWN,"Předchozí"
PAUSE,"Pauza"
RESUME,"Obnovit"
LOAD,"Zavést"
UNLOAD,"Vysunout"
SLOW_SPEED,"Pomalu"
NORMAL_SPEED,"Normál"
FAST_SPEED,"Rychle"
FAN_FULL_SPEED,"Plný"
FAN_HALF_SPEED,"Poloviční"
ROTATE_UI,"Otočit UI"
TOUCHSCREEN_ADJUST,"Kalibrace"
MORE,"Více"
SCREEN_INFO,"Info"
STATUS,"Status"
WHITE,"Bílá"
BLACK,"Černá"
BLUE,"Modrá"
RED,"Červená"
GREEN,"Zelená"
CYAN,"Tyrkys"
YELLOW,"Žlutá"
BROWN,"Hnědá"
GRAY,"Šedá"
ORANGE,"Oranžová"
INDIGO,"Indigo"
VIOLET,"Fialová"
MAGENTA,"Magenta"
PURPLE,"Purple"
LIME,"Lime"
DARKBLUE,"DarkBlue"
DARKGREEN,"DarkGreen"
DARKGRAY,"DarkGray"
DISCONNECT,"Odpojit"
PERCENTAGE,"Procenta"
BABYSTEP,"BabyStep"
PERCENTAGE_SPEED,"Rychlost"
PERCENTAGE_FLOW,"Průtok"
VALUE_ZERO,"Vynulovat"
1_DEGREE,"1℃"
5_DEGREE,"5℃"
10_DEGREE,"10℃"
X_INC,"X+"
Y_INC,"Y+"
Z_INC,"Z+"
X_DEC,"X-"
Y_DEC,"Y-"
Z_DEC,"Z-"
X,"X"
Y,"Y"
Z,"Z"
001_MM,"0,01mm"
01_MM,"0,1mm"
1_MM,"1mm"
5_MM,"5mm"
10_MM,"10mm"
1_PERCENT,"1%"
5_PERCENT,"5%"
10_PERCENT,"10%"
PERCENT_VALUE,"%d%%"
READY,"Ready"
BUSY,"Zpracovávám, čekejte prosím..."
UNCONNECTED,"Tiskárna není připojena!"
DISCONNECT_INFO,"Nyní můžete tiskárnu ovládat z počítače!"
LOADING,"Nahrávám..."
POWER_FAILED,"Obnovit tisk?"
CONTINUE,"Pokračovat"
CANCEL,"Zrušit"
ADJUST_TITLE,"Kalibrace dotykové obrazovky"
ADJUST_INFO,"Dotkněte se postupně všech bodů"
ADJUST_OK,"Kalibrace úspěšná"
ADJUST_FAILED,"Kalibrace selhala, zopakujte znovu"
WARNING,"Varování"
STOP_PRINT,"Zastavit tisk?"
CONFIRM,"Potvrdit"
TFTSD,"TFT SD"
READ_TFTSD_ERROR,"Chyba při čtení SD karty!"
TFTSD_INSERTED,"SD karta vložena!"
TFTSD_REMOVED,"SD karta vyjmuta!"
U_DISK,"USB Disk"
READ_U_DISK_ERROR,"Chyba při čtení USB disku!"
U_DISK_INSERTED,"USB disk  vložen!"
U_DISK_REMOVED,"USB disk vyjmut!"
ONBOARDSD,"Onboard SD"
READ_ONBOARDSD_ERROR,"Chyba při čtení Onboard SD!"
FILAMENT_SENSOR,"Filament sensor"
FILAMENT_RUNOUT,"Došel filament!"
PREHEAT,"Zahřát"
PREHEAT_BOTH,"Vše"
IS_PAUSE,"Během tisku nelze\nextrudovat,\nmám pozastavit tisk?"
AUTO_SHUT_DOWN,"Automat"
UNIFIEDMOVE,"Pohyb"
UNIFIEDHEAT,"Teplota"
COOLDOWN,"Zchladit"
EMERGENCYSTOP,"!!STOP!!"
TOUCH_TO_EXIT,"Pro návrat se dotkněte obrazovky..."
MAINMENU,"Menu"
WAIT_TEMP_SHUT_DOWN,"Čekám na zchladnutí\nextruderu pod %d℃"
FORCE_SHUT_DOWN,"Vynutit"
SHUTTING_DOWN,"Vypínám se..."
PARAMETER_SETTING,"Parametr"
ON,"ON"
OFF,"OFF"
SMART,"SMART"
TERMINAL_ACK,"zobrazit ACK v Terminal"
INVERT_XAXIS,"Otočit osu X"
INVERT_YAXIS,"Otočit osu Y"
INVERT_ZAXIS,"Otočit osu Z"
MOVE_SPEED,"Rychlost pohybu X Y Z"
KNOB_LED,"Rotační knoflík LED"
M0_PAUSE,"Pauza po příkazu M0"
SEND_START_GCODE,"Spustit Gcode před tiskem"
SEND_END_GCODE,"Spustit Gcode po tisku"
SEND_CANCEL_GCODE,"Přerušení tisku"
PERSISTENT_STATUS_INFO,"Trvalé zobrazení stavu"
FILE_LISTMODE,"Zobrazit soubory jako seznam"
CURRENT_SETTING,"Proud motorů (mA)"
STEPS_SETTING,"Kroků/mm"
MAXFEEDRATE,"Max rychlost"
MAXACCELERATION,"Max zrychlení"
ACCELERATION,"Zrychlení"
PRINT_ACCELERATION,"Zrychlení při tisku"
RETRACT_ACCELERATION,"Zrychlení retrakcí"
TRAVEL_ACCELERATION,"Zrychlení při přesunu"
BUMP_SENSITIVITY,"Citlivost TMC na náraz"
RESET,"Reset"
RESET_SETTINGS,"Všechna nastavení budou\nobnovena na výchozí\nhodnoty. Pokračovat?"
RESET_SETTINGS_DONE,"Resetování všech nastavení\nbylo úspěšně provedeno.\nRestartujte zařízení."
INFO,"Info"
LCD_BRIGHTNESS,"LCD Jas"
LCD_BRIGHTNESS_DIM,"LCD snížení jasu"
LCD_DIM_IDLE_TIMER,"LCD snížení jasu po"
5_SECONDS,"5 sec."
10_SECONDS,"10 sec."
30_SECONDS,"30 sec."
60_SECONDS,"1 min."
120_SECONDS,"2 min."
300_SECONDS,"5 min."
CUSTOM_SECONDS,"Vlastní"
ST7920_FULLSCREEN,"Celoobrazovkový režim Marlin"
