disp.name.flag,disp.name.ru
LANGUAGE,"Русский"
HEAT,"Нагрев"
MOVE,"Движение"
HOME,"Домой"
PRINT,"Печать"
EXTRUDE,"Экструзия"
FAN,"Вентилятор"
SETTINGS,"Настройки"
SCREEN_SETTINGS,"Экран"
MACHINE_SETTINGS,"Принтер"
FEATURE_SETTINGS,"Опции"
SILENT_ON,"Звук выкл"
SILENT_OFF,"Звук вкл"
SHUT_DOWN,"Выключить"
RGB_SETTINGS,"Цвет LED"
RGB_OFF,"LED выкл"
GCODE,"G-коды"
TERMINAL,"Терминал"
CUSTOM,"Своё меню"
LEVELING,"Равнение"
POINT_1,"Точка 1"
POINT_2,"Точка 2"
POINT_3,"Точка 3"
POINT_4,"Точка 4"
ABL,"ABL"
BLTOUCH,"Bltouch"
BLTOUCH_TEST,"BLT тест"
BLTOUCH_DEPLOY,"BLT вниз"
BLTOUCH_STOW,"BLT вверх"
BLTOUCH_REPEAT,"Точность Z"
Z_OFFSET,"Отступ Z"
PROBE_OFFSET,"Смещение датчика"
EEPROM_SAVE,"Сохранить"
INC,"Увеличить"
DEC,"Уменьшить"
NOZZLE,"Сопло"
BED,"Стол"
STOP,"Стоп"
BACK,"Назад"
PAGE_UP,"\u0899 Стр."
PAGE_DOWN,"Стр. \u089A"
PAUSE,"Пауза"
RESUME,"Продолжить"
LOAD,"Загрузка"
UNLOAD,"Выгрузка"
SLOW_SPEED,"Медленно"
NORMAL_SPEED,"Обычно"
FAST_SPEED,"Быстро"
FAN_FULL_SPEED,"Максимум"
FAN_HALF_SPEED,"Средне"
ROTATE_UI,"Переворот"
TOUCHSCREEN_ADJUST,"Калибровка"
MORE,"Больше\u089C"
SCREEN_INFO,"Инфо"
STATUS,"Status"
WHITE,"Белый"
BLACK,"Чёрный"
BLUE,"Синий"
RED,"Красный"
GREEN,"Зелёный"
CYAN,"Голубой"
YELLOW,"Жёлтый"
BROWN,"Коричневый"
GRAY,"Серый"
ORANGE,"Оранжевый"
INDIGO,"Индиго"
VIOLET,"Фиолетовый"
MAGENTA,"Маджента"
PURPLE,"Пурпурный"
LIME,"Лаймовый"
DARKBLUE,"Тёмно-синий"
DARKGREEN,"Тёмно-зелёный"
DARKGRAY,"Тёмно-серый"
DISCONNECT,"Отключить"
PERCENTAGE,"Подстройки"
BABYSTEP,"Микрошаг Z"
PERCENTAGE_SPEED,"Скорость"
PERCENTAGE_FLOW,"Поток"
VALUE_ZERO,"Обнулить"
1_DEGREE,"1℃"
5_DEGREE,"5℃"
10_DEGREE,"10℃"
X_INC,"X+"
Y_INC,"Y+"
Z_INC,"Z+"
X_DEC,"X-"
Y_DEC,"Y-"
Z_DEC,"Z-"
X,"X"
Y,"Y"
Z,"Z"
001_MM,"0.01мм"
01_MM,"0.1мм"
1_MM,"1мм"
5_MM,"5мм"
10_MM,"10мм"
1_PERCENT,"1%"
5_PERCENT,"5%"
10_PERCENT,"10%"
PERCENT_VALUE,"%d%%"
READY,"Готов"
BUSY,"Занято процессом, подождите..."
UNCONNECTED,"Нет подключения!"
DISCONNECT_INFO,"Управление принтером через компьютер"
LOADING,"Загрузка..."
POWER_FAILED,"\u0887 Продолжить печать?"
CONTINUE,"Продолжение"
CANCEL,"\u088F Отмена"
ADJUST_TITLE,"Калибровка экрана"
ADJUST_INFO,"Нажмите на красную точку"
ADJUST_OK,"Успешная калибровка"
ADJUST_FAILED,"Неудачная калибровка, попробуйте снова"
WARNING,"\u0881 Внимание"
STOP_PRINT,"Остановить печать?"
CONFIRM,"\u088E OK"
TFTSD,"SD экрана"
READ_TFTSD_ERROR,"Ошибка чтения SD карты!"
TFTSD_INSERTED,"SD карта вставлена!"
TFTSD_REMOVED,"SD карта извлечена!"
U_DISK,"Флеш карта"
READ_U_DISK_ERROR,"Ошибка чтения флеш карты!"
U_DISK_INSERTED,"Флеш карта вставлена!"
U_DISK_REMOVED,"Флеш карта извлечена!"
ONBOARDSD,"SD платы"
READ_ONBOARDSD_ERROR,"Ошибка чтения SD карты!"
FILAMENT_SENSOR,"Сенсор прутка"
FILAMENT_RUNOUT,"Пруток закончился"
PREHEAT,"Преднагрев"
PREHEAT_BOTH,"Оба"
IS_PAUSE,"Невозможна экструзия\nпри печати, поставить\nна паузу?"
AUTO_SHUT_DOWN,"Автовыключение"
UNIFIEDMOVE,"Движение"
UNIFIEDHEAT,"Нагрев"
COOLDOWN,"Охладить"
EMERGENCYSTOP,"Экст.стоп"
MAINMENU,"Меню"
TOUCH_TO_EXIT,"Нажмите для возврата"
WAIT_TEMP_SHUT_DOWN,"Дождитесь температуры\nсопла не ниже чем %d℃"
FORCE_SHUT_DOWN,"Принудительно выкл"
SHUTTING_DOWN,"Выключаю..."
PARAMETER_SETTING,"Параметры"
ON,"Вкл"
OFF,"Выкл"
SMART,"Умный"
TERMINAL_ACK,"ACK терминала (C°)"
INVERT_XAXIS,"Инверсия оси X"
INVERT_YAXIS,"Инверсия оси Y"
INVERT_ZAXIS,"Инверсия оси Z"
MOVE_SPEED,"Скорость (X Y Z)"
KNOB_LED,"Подсветка энкодера"
M0_PAUSE,"Пауза по команде M0"
SEND_START_GCODE,"G-код перед печатью"
SEND_END_GCODE,"G-код после печати"
SEND_CANCEL_GCODE,"G-код отмены печати"
PERSISTENT_STATUS_INFO,"Нагрев в инфостроке"
FILE_LISTMODE,"Файлы в режиме строк"
CURRENT_SETTING,"Настройка TMC драйверов"
STEPS_SETTING,"Настройка шагов на мм"
MAXFEEDRATE,"MAX скорость подачи"
MAXACCELERATION,"MAX ускорение"
ACCELERATION,"Ускорение"
PRINT_ACCELERATION,"Печати"
RETRACT_ACCELERATION,"Ретракта (втягивания)"
TRAVEL_ACCELERATION,"Перемещения"
BUMP_SENSITIVITY,"TMC чувствительность удара"
RESET,"Сброс"
RESET_SETTINGS,"Все настройки экрана\nбудут сброшены по\nумолчанию. Продолжить?"
RESET_SETTINGS_DONE,"Успешный сброс настроек\nэкрана. Для полного\nвступления в силу,\nперегрузите устройство."
INFO,"\u0884 Информация"
LCD_BRIGHTNESS,"Яркость LCD"
LCD_BRIGHTNESS_DIM,"Регулировка яркости LCD"
LCD_DIM_IDLE_TIMER,"Время до гашения LCD"
5_SECONDS,"5 сек."
10_SECONDS,"10 сек."
30_SECONDS,"30 сек."
60_SECONDS,"1 мин."
120_SECONDS,"2 мин."
300_SECONDS,"5 мин."
CUSTOM_SECONDS,"Своё"
ST7920_FULLSCREEN,"Marlin на весь экран"
