Page,index,span_x,span_y,filename
SwitchLogo,1,1,1,marlin
SwitchLogo,2,1,1,BigTreeTech
Startup,1,1,1,Logo
Ready,1,1,1,status_nozzle
Ready,2,1,1,status_bed
Ready,3,1,1,status_fan
Ready,4,1,1,status_flow|status_speed
Ready,5,1,1,MainMenu
Ready,8,1,1,Print
ControlPanels,1,1,1,Preheat
ControlPanels,2,1,1,Heat
ControlPanels,3,1,1,Fan
ControlPanels,4,1,1,CoolDown
ControlPanels,8,1,1,Back
Preheat,1,1,1,Preheat_PLA
Preheat,2,1,1,Preheat_PETG
Preheat,3,1,1,Preheat_ABS
Preheat,6,1,1,Preheat_Both|Nozzle|bed
Preheat,8,1,1,Back
Heat,1,1,1,Dec
Heat,4,1,1,Inc
Heat,5,1,1,Nozzle|bed
Heat,6,1,1,1_degree|5_degree|10_degree
Heat,7,1,1,Stop
Heat,8,1,1,Back
Fan,1,1,1,Dec
Fan,4,1,1,Inc
Fan,5,1,1,fan
Fan,6,1,1,fan_full_speed|fan_half_speed
Fan,7,1,1,Stop
Fan,8,1,1,Back
Speed&&Flow,1,1,1,Dec
Speed&&Flow,4,1,1,Inc
Speed&&Flow,5,1,1,Extrude|Move
Speed&&Flow,6,1,1,e_1_percent|e_5_percent|e_10_percent
Speed&&Flow,7,1,1,normal_speed|fast_speed|slow_speed
Speed&&Flow,8,1,1,Back
Menu,1,1,1,Heat_Fan
Menu,2,1,1,Home_Move
Menu,3,1,1,Extrude
Menu,4,1,1,Stop
Menu,5,1,1,gcode
Menu,6,1,1,Custom
Menu,7,1,1,Settings
Menu,8,1,1,Back
MoveMenu,1,1,1,Home
MoveMenu,2,1,1,Move
MoveMenu,3,1,1,Leveling
MoveMenu,4,1,1,manual_level
MoveMenu,8,1,1,Back
Home,1,1,1,Home
Home,2,1,1,x_Home
Home,3,1,1,y_Home
Home,4,1,1,z_Home
Home,8,1,1,Back
Movement,1,1,1,Z_dec
Movement,2,1,1,Y_inc
Movement,3,1,1,Z_inc
Movement,4,1,1,01_mm|1_mm|10_mm
Movement,5,1,1,X_dec
Movement,6,1,1,Y_dec
Movement,7,1,1,X_inc
Movement,8,1,1,Back
Autoleveling,1,1,1,Leveling
Autoleveling,2,1,1,bltouch_deploy
Autoleveling,3,1,1,bltouch_stow
Autoleveling,4,1,1,bltouch_test
Autoleveling,5,1,1,bltouch_repeat
Autoleveling,6,1,1,probe_offset
Autoleveling,7,1,1,BabyStep
Autoleveling,8,1,1,Back
ManualLeveling,1,1,1,Point_1
ManualLeveling,2,1,1,Point_2
ManualLeveling,3,1,1,Point_3
ManualLeveling,4,1,1,Point_4
ManualLeveling,8,1,1,Back
Extrude,1,1,1,Unload
Extrude,4,1,1,Load
Extrude,5,1,1,Nozzle
Extrude,6,1,1,normal_speed|fast_speed|slow_speed
Extrude,7,1,1,e_1_mm|e_5_mm|e_10_mm
Extrude,8,1,1,Back
Settings,1,1,1,screen_settings
Settings,2,1,1,machine_settings
Settings,3,1,1,feature_settings
Settings,4,1,1,screen_info
Settings,5,1,1,Disconnect
Settings,6,1,1,baud_rate
Settings,8,1,1,Back
Machine,1,1,1,Custom
Machine,2,1,1,RGB_Settings
Machine,3,1,1,gcode
Machine,4,1,1,shut_down
Machine,5,1,1,parameter
Machine,8,1,1,Back
LEDColor,1,1,1,RGB_Red
LEDColor,2,1,1,RGB_Green
LEDColor,3,1,1,RGB_Blue
LEDColor,4,1,1,RGB_White
LEDColor,5,1,1,RGB_Off
LEDColor,8,1,1,Back
ScreenSettings,1,1,1,rotate_ui
ScreenSettings,2,1,1,touchscreen_adjust
ScreenSettings,3,1,1,Language
ScreenSettings,4,1,1,silent_on|silent_off
ScreenSettings,5,1,1,bkcolor
ScreenSettings,6,1,1,fontcolor
ScreenSettings,8,1,1,Back
Print,1,1,1,ontft_sd
Print,2,1,1,onboard_sd
Print,3,1,1,U_Disk
Print,8,1,1,Back
FileSelect,1,1,1,Folder
FileSelect,2,1,1,file
FileSelect,6,1,1,Page_up
FileSelect,7,1,1,Page_down
FileSelect,8,1,1,Back
Printing,5,1,1,Resume|Pause
Printing,6,1,1,BabyStep
Printing,7,1,1,More
Printing,8,1,1,Back
BabyStep,1,1,1,Dec
BabyStep,4,1,1,Inc
BabyStep,6,1,1,001_mm|01_mm|1_mm
BabyStep,7,1,1,Reset
BabyStep,8,1,1,Back
PrintingMenu,1,1,1,Heat
PrintingMenu,2,1,1,Fan
PrintingMenu,3,1,1,Extrude
PrintingMenu,4,1,1,Percentage
PrintingMenu,5,1,1,BabyStep
PrintingMenu,6,1,1,feature_settings
PrintingMenu,7,1,1,RGB_Settings
PrintingMenu,8,1,1,Back
